textbox14,textbox79,textbox83,textbox81,textbox48
"Quarter 4 (10/01/2016-12/31/2016), Quarter 3 (07/01/2016-09/30/2016), Quarter 2 (04/01/2016-06/30/2016), Quarter 1 (01/01/2016-03/31/2016)",All,All,All,8/1/2023 9:26:51 AM

textbox7,POLICY_TYPE_NM,PIF_TOT,CAN_TOT,NONR_TOT,CHURR_TOT,NRHURR_TOT,NEW_TOT,textbox1,textbox3,PREM_TOT,textbox4,textbox5,textbox6,PEXW_TOT,textbox9,textbox10,CLAIMS_OPENED_TOT,CLAIMS_CLOSED_TOT,CLAIMS_PENDING_TOT,CLAIMS_ADR_TOT,CLAIMS_MED_TOT,CLAIMS_ARB_TOT,CLAIMS_APP_TOT,CLAIMS_SINK_TOT,CLAIMS_SETTL_TOT,CLAIMS_OTH_TOT,textbox63,textbox64,textbox65,textbox66,textbox67,textbox68,textbox69,textbox70,textbox71,textbox72,textbox73,textbox74,textbox75,textbox76,textbox77,CLAIMS_OPENED_TOT1,CLAIMS_CLOSED_TOT1,CLAIMS_PENDING_TOT1,CLAIMS_ADR_TOT1,CLAIMS_MED_TOT1,CLAIMS_ARB_TOT1,CLAIMS_APP_TOT1,CLAIMS_SINK_TOT1,CLAIMS_SETTL_TOT1,CLAIMS_OTH_TOT1
Period Ending  6/30/2016,Personal Residential - Mobile Homeowners - WIND ONLY,"3,802",77,175,0,0,125,0,"150,594,210","3,168,199","3,802",0,"3,168,199",0,0,0,,,,,,,,,,,"6,049,763","263,928","102,091",10,140,"399,089","325,785","1,995,250,195,359","10,093,654,561","5,723,978","155,563,635,667","9,708,533,591","385,120,970","16,017","19,295",,,,,,,,,,
Period Ending  6/30/2016,Personal Residential - Tenants,"551,760","78,595","7,095",0,1,"102,188","9,809","13,834,560,289","125,207,733","541,951","633,995,763","122,373,972","2,833,761",626,610,,,,,,,,,,,"6,049,763","263,928","102,091",10,140,"399,089","325,785","1,995,250,195,359","10,093,654,561","5,723,978","155,563,635,667","9,708,533,591","385,120,970","16,017","19,295",,,,,,,,,,
Period Ending  6/30/2016,Personal Residential - Tenants - WIND ONLY,"2,973",53,526,0,0,351,0,"608,243,520","4,909,167","2,973",0,"4,909,167",0,2,0,,,,,,,,,,,"6,049,763","263,928","102,091",10,140,"399,089","325,785","1,995,250,195,359","10,093,654,561","5,723,978","155,563,635,667","9,708,533,591","385,120,970","16,017","19,295",,,,,,,,,,
Period Ending  9/30/2016,Commercial Residential - (Apartment Buildings) - WIND ONLY,"2,282",66,270,0,0,96,0,"2,202,254,278","17,356,204","2,282",0,"17,356,204",0,0,0,,,,,,,,,,,"6,088,498","269,244","91,408",13,366,"396,122","323,033","2,007,866,321,390","10,058,791,201","5,765,465","153,839,186,007","9,679,136,611","379,654,590","4,867","8,162",,,,,,,,,,
Period Ending  9/30/2016,Commercial Residential - (Condo Associations Only) - WIND ONLY,"3,291",56,346,0,0,128,0,"13,127,125,614","61,038,375","3,291",0,"61,038,375",0,0,0,,,,,,,,,,,"6,088,498","269,244","91,408",13,366,"396,122","323,033","2,007,866,321,390","10,058,791,201","5,765,465","153,839,186,007","9,679,136,611","379,654,590","4,867","8,162",,,,,,,,,,
Period Ending  9/30/2016,Commercial Residential - (Homeowners Association) - WIND ONLY,184,3,27,0,0,15,0,"712,525,635","3,057,957",184,0,"3,057,957",0,0,0,,,,,,,,,,,"6,088,498","269,244","91,408",13,366,"396,122","323,033","2,007,866,321,390","10,058,791,201","5,765,465","153,839,186,007","9,679,136,611","379,654,590","4,867","8,162",,,,,,,,,,
Period Ending  9/30/2016,Commercial Residential - Allied Lines (Condo Associations Only),"4,782",17,148,0,0,169,0,"53,840,577,058","283,582,531","4,782",0,"283,582,531",0,0,0,,,,,,,,,,,"6,088,498","269,244","91,408",13,366,"396,122","323,033","2,007,866,321,390","10,058,791,201","5,765,465","153,839,186,007","9,679,136,611","379,654,590","4,867","8,162",,,,,,,,,,
Period Ending  9/30/2016,Commercial Residential - Allied Lines (Excl Condo Associations),817,0,40,0,0,24,7,"8,885,956,903","17,128,281",810,"1,791,426,063","17,066,541","61,740",0,0,,,,,,,,,,,"6,088,498","269,244","91,408",13,366,"396,122","323,033","2,007,866,321,390","10,058,791,201","5,765,465","153,839,186,007","9,679,136,611","379,654,590","4,867","8,162",,,,,,,,,,
Period Ending  9/30/2016,Commercial Residential - CMP (Condo Associations Only),"4,450",423,73,0,0,614,"1,065","43,162,805,941","141,103,481","3,385","4,982,754,145","134,356,661","6,746,820",0,0,,,,,,,,,,,"6,088,498","269,244","91,408",13,366,"396,122","323,033","2,007,866,321,390","10,058,791,201","5,765,465","153,839,186,007","9,679,136,611","379,654,590","4,867","8,162",,,,,,,,,,
Period Ending  9/30/2016,Commercial Residential - CMP (Excl Condo Associations),"8,706",284,91,0,0,987,964,"5,348,039,508","33,341,969","7,742","631,678,427","31,170,883","2,171,086",7,8,,,,,,,,,,,"6,088,498","269,244","91,408",13,366,"396,122","323,033","2,007,866,321,390","10,058,791,201","5,765,465","153,839,186,007","9,679,136,611","379,654,590","4,867","8,162",,,,,,,,,,
